<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,15/10/15,00:00,821.0000000
YNDX,D,16/10/15,00:00,813.0000000
YNDX,D,19/10/15,00:00,845.0000000
YNDX,D,20/10/15,00:00,834.0000000
YNDX,D,21/10/15,00:00,822.0000000
YNDX,D,22/10/15,00:00,836.0000000
YNDX,D,23/10/15,00:00,813.0000000
YNDX,D,26/10/15,00:00,838.0000000
YNDX,D,27/10/15,00:00,940.0000000
YNDX,D,28/10/15,00:00,1002.0000000
YNDX,D,29/10/15,00:00,1009.0000000
YNDX,D,30/10/15,00:00,1016.0000000
YNDX,D,02/11/15,00:00,1030.0000000
YNDX,D,03/11/15,00:00,1011.0000000
YNDX,D,05/11/15,00:00,980.0000000
YNDX,D,06/11/15,00:00,994.9000000
YNDX,D,09/11/15,00:00,1012.0000000
YNDX,D,10/11/15,00:00,1027.0000000
YNDX,D,11/11/15,00:00,1040.0000000
YNDX,D,12/11/15,00:00,1020.6000000
YNDX,D,13/11/15,00:00,1001.0000000
YNDX,D,16/11/15,00:00,1015.1000000
YNDX,D,17/11/15,00:00,1059.0000000
YNDX,D,18/11/15,00:00,1094.0000000
YNDX,D,19/11/15,00:00,1086.0000000
YNDX,D,20/11/15,00:00,1111.0000000
YNDX,D,23/11/15,00:00,1129.9000000
YNDX,D,24/11/15,00:00,1092.0000000
YNDX,D,25/11/15,00:00,1127.0000000
YNDX,D,26/11/15,00:00,1117.7000000
YNDX,D,27/11/15,00:00,1074.5000000
YNDX,D,30/11/15,00:00,1094.0000000
YNDX,D,01/12/15,00:00,1086.0000000
YNDX,D,02/12/15,00:00,1104.0000000
YNDX,D,03/12/15,00:00,1099.0000000
YNDX,D,04/12/15,00:00,1087.1000000
YNDX,D,07/12/15,00:00,1060.0000000
YNDX,D,08/12/15,00:00,1038.9000000
YNDX,D,09/12/15,00:00,1050.0000000
YNDX,D,10/12/15,00:00,1030.3000000
YNDX,D,11/12/15,00:00,1037.0000000
YNDX,D,14/12/15,00:00,984.4000000
YNDX,D,15/12/15,00:00,1055.0000000
YNDX,D,16/12/15,00:00,1067.0000000
YNDX,D,17/12/15,00:00,1084.9000000
YNDX,D,18/12/15,00:00,1075.1000000
YNDX,D,21/12/15,00:00,1095.1000000
YNDX,D,22/12/15,00:00,1090.1000000
YNDX,D,23/12/15,00:00,1125.1000000
YNDX,D,24/12/15,00:00,1129.1000000
YNDX,D,25/12/15,00:00,1110.0000000
YNDX,D,28/12/15,00:00,1119.5000000
YNDX,D,29/12/15,00:00,1138.0000000
YNDX,D,30/12/15,00:00,1147.0000000
YNDX,D,04/01/16,00:00,1064.1000000
YNDX,D,05/01/16,00:00,1133.9000000
YNDX,D,06/01/16,00:00,1112.0000000
YNDX,D,11/01/16,00:00,987.0000000
YNDX,D,12/01/16,00:00,999.0000000
YNDX,D,13/01/16,00:00,1006.0000000
YNDX,D,14/01/16,00:00,1009.0000000
YNDX,D,15/01/16,00:00,954.0000000
YNDX,D,18/01/16,00:00,963.0000000
YNDX,D,19/01/16,00:00,954.0000000
YNDX,D,20/01/16,00:00,912.5000000
YNDX,D,21/01/16,00:00,1020.0000000
YNDX,D,22/01/16,00:00,1020.0000000
YNDX,D,25/01/16,00:00,1002.1000000
YNDX,D,26/01/16,00:00,1012.0000000
YNDX,D,27/01/16,00:00,1049.9000000
YNDX,D,28/01/16,00:00,1017.4000000
YNDX,D,29/01/16,00:00,1007.0000000
YNDX,D,01/02/16,00:00,1013.0000000
YNDX,D,02/02/16,00:00,1012.0000000
YNDX,D,03/02/16,00:00,1012.5000000
YNDX,D,04/02/16,00:00,1054.0000000
YNDX,D,05/02/16,00:00,1023.0000000
YNDX,D,08/02/16,00:00,986.0000000
YNDX,D,09/02/16,00:00,992.0000000
YNDX,D,10/02/16,00:00,998.0000000
YNDX,D,11/02/16,00:00,1007.0000000
YNDX,D,12/02/16,00:00,989.0000000
YNDX,D,15/02/16,00:00,1008.0000000
YNDX,D,16/02/16,00:00,1072.0000000
YNDX,D,17/02/16,00:00,1044.0000000
YNDX,D,18/02/16,00:00,1014.0000000
YNDX,D,19/02/16,00:00,989.0000000
YNDX,D,20/02/16,00:00,987.5000000
YNDX,D,22/02/16,00:00,1002.5000000
YNDX,D,24/02/16,00:00,974.5000000
YNDX,D,25/02/16,00:00,982.0000000
